id_show,Generos
62127.0,Sci-Fi & Fantasy
95594.0,Animation
95594.0,Action & Adventure
95594.0,Kids
95594.0,Family
75219.0,Drama
75219.0,Crime
75219.0,Action & Adventure
80752.0,Drama
80752.0,Sci-Fi & Fantasy
80752.0,Action & Adventure
1705.0,Sci-Fi & Fantasy
1705.0,Drama
1705.0,Mystery
62643.0,Action & Adventure
62643.0,Sci-Fi & Fantasy
62643.0,Drama
71728.0,Comedy
71728.0,Family
16997.0,Drama
16997.0,Action & Adventure
16997.0,War & Politics
40008.0,Drama
40008.0,Crime
67744.0,Drama
67744.0,Crime
61222.0,Animation
61222.0,Comedy
61222.0,Drama
61374.0,Action & Adventure
61374.0,Animation
61374.0,Drama
61374.0,Mystery
1981.0,Comedy
1981.0,Drama
1981.0,Mystery
1981.0,Sci-Fi & Fantasy
38472.0,Sci-Fi & Fantasy
38472.0,Drama
63639.0,Drama
63639.0,Mystery
63639.0,Sci-Fi & Fantasy
1892.0,Comedy
1892.0,Family
95057.0,Sci-Fi & Fantasy
95057.0,Drama
4614.0,Crime
4614.0,Drama
4614.0,Action & Adventure
91239.0,Drama
1639.0,Sci-Fi & Fantasy
1639.0,Drama
44006.0,Drama
1407.0,Drama
1407.0,War & Politics
154521.0,Reality
69740.0,Crime
69740.0,Drama
45871.0,Drama
72844.0,Mystery
72844.0,Drama
39272.0,Drama
39272.0,Sci-Fi & Fantasy
52814.0,Action & Adventure
52814.0,Sci-Fi & Fantasy
11250.0,Drama
1438.0,Crime
1438.0,Drama
90239.0,Drama
105.0,Comedy
1433.0,Animation
1433.0,Comedy
96815.0,Documentary
1395.0,Drama
1395.0,Mystery
35610.0,Animation
35610.0,Sci-Fi & Fantasy
35610.0,Action & Adventure
35610.0,Comedy
35610.0,Mystery
89641.0,Drama
89641.0,Sci-Fi & Fantasy
33880.0,Action & Adventure
33880.0,Animation
33880.0,Drama
33880.0,Family
33880.0,Sci-Fi & Fantasy
1437.0,Drama
1437.0,Action & Adventure
1437.0,Sci-Fi & Fantasy
96677.0,Crime
96677.0,Drama
96677.0,Mystery
92783.0,Comedy
92783.0,Sci-Fi & Fantasy
71914.0,Sci-Fi & Fantasy
71914.0,Drama
65494.0,Drama
31132.0,Animation
31132.0,Comedy
12697.0,Animation
12697.0,Action & Adventure
12697.0,Sci-Fi & Fantasy
1920.0,Drama
1920.0,Mystery
31586.0,Drama
31586.0,Crime
73586.0,Western
73586.0,Drama
4194.0,Action & Adventure
4194.0,Animation
4194.0,Sci-Fi & Fantasy
31911.0,Action & Adventure
31911.0,Animation
31911.0,Sci-Fi & Fantasy
93741.0,Animation
93741.0,Kids
93741.0,Action & Adventure
2038.0,Comedy
90802.0,Sci-Fi & Fantasy
90802.0,Drama
63401.0,Family
63401.0,Comedy
63401.0,Animation
63401.0,Kids
47.0,Comedy
47.0,Family
71915.0,Sci-Fi & Fantasy
71915.0,Comedy
71915.0,Drama
76121.0,Animation
77606.0,Animation
77606.0,Action & Adventure
77606.0,Comedy
77606.0,Kids
12926.0,Soap
12926.0,Drama
1400.0,Comedy
90260.0,Drama
90260.0,Comedy
90260.0,Sci-Fi & Fantasy
110316.0,Drama
110316.0,Mystery
110316.0,Action & Adventure
68421.0,Sci-Fi & Fantasy
61550.0,Drama
61550.0,Sci-Fi & Fantasy
10545.0,Sci-Fi & Fantasy
10545.0,Drama
10545.0,Mystery
45950.0,Animation
45950.0,Action & Adventure
45950.0,Comedy
45950.0,Sci-Fi & Fantasy
1419.0,Drama
1419.0,Crime
47640.0,Sci-Fi & Fantasy
47640.0,Drama
47640.0,Mystery
693.0,Mystery
693.0,Drama
693.0,Comedy
62046.0,Mystery
62046.0,Crime
62046.0,Comedy
30984.0,Action & Adventure
30984.0,Animation
30984.0,Sci-Fi & Fantasy
16420.0,Comedy
16420.0,Drama
45782.0,Animation
45782.0,Sci-Fi & Fantasy
45782.0,Action & Adventure
62126.0,Drama
62126.0,Sci-Fi & Fantasy
62126.0,Action & Adventure
62126.0,Crime
31356.0,Family
31356.0,Comedy
31356.0,Kids
100883.0,Comedy
100883.0,Drama
4556.0,Comedy
80743.0,Drama
80743.0,Comedy
97180.0,Drama
67198.0,Sci-Fi & Fantasy
67198.0,Action & Adventure
1606.0,Sci-Fi & Fantasy
1606.0,Mystery
1606.0,Drama
60572.0,Animation
60572.0,Action & Adventure
60572.0,Sci-Fi & Fantasy
42035.0,Action & Adventure
42035.0,Mystery
42035.0,Drama
85949.0,Sci-Fi & Fantasy
85949.0,Action & Adventure
32798.0,Crime
32798.0,Drama
32798.0,Action & Adventure
31251.0,Comedy
31251.0,Family
95.0,Sci-Fi & Fantasy
95.0,Comedy
95.0,Drama
95.0,Action & Adventure
64432.0,Drama
64432.0,Sci-Fi & Fantasy
114868.0,Animation
114868.0,Action & Adventure
114868.0,Sci-Fi & Fantasy
4686.0,Animation
4686.0,Action & Adventure
4686.0,Comedy
4686.0,Sci-Fi & Fantasy
63333.0,Action & Adventure
63333.0,Drama
63333.0,War & Politics
1411.0,Drama
1411.0,Action & Adventure
1411.0,Crime
1411.0,Sci-Fi & Fantasy
97186.0,Comedy
97186.0,Drama
46298.0,Action & Adventure
46298.0,Animation
46298.0,Drama
71411.0,Drama
1415.0,Drama
1415.0,Mystery
1415.0,Crime
1620.0,Drama
1620.0,Mystery
1620.0,Crime
120089.0,Animation
120089.0,Comedy
120089.0,Action & Adventure
71740.0,Comedy
18347.0,Comedy
46786.0,Drama
46786.0,Crime
46786.0,Mystery
46639.0,Drama
46639.0,Mystery
46639.0,Sci-Fi & Fantasy
112888.0,Comedy
112888.0,Drama
79744.0,Crime
79744.0,Drama
68507.0,Sci-Fi & Fantasy
68507.0,Drama
61056.0,Crime
61056.0,Drama
61056.0,Mystery
89247.0,Sci-Fi & Fantasy
89247.0,Action & Adventure
74428.0,Drama
62264.0,Comedy
62264.0,Action & Adventure
62264.0,Sci-Fi & Fantasy
890.0,Sci-Fi & Fantasy
890.0,Animation
890.0,Drama
72305.0,Animation
72305.0,Drama
72305.0,Mystery
61664.0,Sci-Fi & Fantasy
61664.0,Drama
75758.0,Sci-Fi & Fantasy
75758.0,Action & Adventure
75758.0,Drama
117581.0,Comedy
117581.0,Drama
2098.0,Action & Adventure
2098.0,Animation
2098.0,Drama
2098.0,Mystery
86430.0,Drama
86430.0,Crime
80240.0,Drama
30991.0,Animation
30991.0,Action & Adventure
30991.0,Sci-Fi & Fantasy
30991.0,Western
79699.0,Soap
