id_show,Companias_Produccion
95594.0,DreamWorks Animation
95594.0, Universal Pictures
75219.0,20th Century Fox Television
75219.0, Ryan Murphy Productions
75219.0, Reamworks
75219.0, Brad Falchuk Teley-vision
80752.0,Endeavor Content
80752.0, Chernin Entertainment
80752.0, about:blank
80752.0, Tropper Ink Productions
80752.0, Nebulastar
80752.0, Quaker Moving Pictures
1705.0,Warner Bros. Television
1705.0, Bad Robot
62643.0,Warner Bros. Television
62643.0, Bonanza Productions
62643.0, Berlanti Productions
62643.0, DC Entertainment
71728.0,Warner Bros. Television
16997.0,Playtone
16997.0, HBO Films
16997.0, DreamWorks Television
16997.0, HBO
16997.0, DreamWorks Pictures
40008.0,Dino De Laurentiis Company
40008.0, Living Dead Guy Productions
40008.0, AXN
40008.0, Gaumont International Television
67744.0,Denver and Delilah Productions
61222.0,Tornante Company
61222.0, ShadowMachine
61222.0, Boxer vs Raptor
61374.0,Pierrot
61374.0, Marvelous
61374.0, TC Entertainment
1981.0,Spelling Television
1981.0, Worldvision Enterprises
1981.0, Paramount Television Studios
1981.0, CBS Studios
38472.0,Tall Girls Productions
38472.0, ABC Studios
38472.0, Marvel Television
63639.0,Syfy
63639.0, Legendary Television
63639.0, Alcon Entertainment
63639.0, Sean Daniel Company
1892.0,The Stuffed Dog Company
1892.0, NBC Productions
1892.0, Quincy Jones-David Salzman Entertainment
95057.0,Berlanti Productions
95057.0, Warner Bros. Television
95057.0, DC Entertainment
4614.0,thinkfilm
4614.0, Paramount Television Studios
4614.0, Belisarius Productions
4614.0, CBS Studios
91239.0,ShondaLand
1639.0,Tailwind Productions
44006.0,Universal Television
44006.0, Wolf Entertainment
1407.0,Showtime Networks
1407.0, Teakwood Lane Productions
1407.0, Cherry Pie Productions
1407.0, Keshet Broadcasting
1407.0, Fox 21
1407.0, Fox 21 Television Studios
154521.0,Fulwell 73
154521.0, Kardashian Jenner Productions
69740.0,MRC
69740.0, Zero Gravity Management
69740.0, Aggregate Films
69740.0, Man
69740.0, Woman & Child Productions
45871.0,Globomedia
45871.0, Fox Latin American Channels
72844.0,Paramount Television Studios
72844.0, Amblin Television
72844.0, Intrepid Pictures
39272.0,Kitsis/Horowitz
39272.0, ABC Studios
52814.0,Amblin Television
52814.0, One Big Picture
52814.0, Chapter Eleven
52814.0, 343 Industries
52814.0, Showtime Networks
11250.0,sin informacion
