id_show,Creador
97546.0,Brendan Hunt
97546.0,Bill Lawrence
97546.0,Joe Kelly
89456.0,Genndy Tartakovsky
52.0,Bonnie Turner
52.0,Terry Turner
52.0,Mark Brazill
8592.0,Greg Daniels
8592.0,Michael Schur
37606.0,Ben Bocquelet
62285.0,Douglas Petrie
62285.0,Marco Ramirez
86031.0,sin informacion
61923.0,Daron Nefcy
114410.0,sin informacion
45790.0,sin informacion
73375.0,Carlton Cuse
73375.0,Graham Roland
67195.0,Noah Hawley
103768.0,Jim Mickle
1420.0,Elizabeth Meriwether
61617.0,Patrick McHale
71790.0,Aaron Rahsaan Thomas
71790.0,Shawn Ryan
79501.0,Jeremy Carver
21510.0,Jeff Eastin
85720.0,Eric Heisserer
126280.0,Stacy Rukeyser
128839.0,David Appelbaum
79788.0,Damon Lindelof
57706.0,sin informacion
58450.0,Caridad Bravo Adams
115857.0,Fernando Sariñana
115857.0,Carolina Rivera
4589.0,Mitchell Hurwitz
47665.0,Jonathan E. Steinberg
47665.0,Robert Levine
96462.0,Park Shin-woo
96462.0,Jo Yong
2490.0,Graham Linehan
80623.0,sin informacion
83095.0,sin informacion
4616.0,Robert Tapert
4616.0,John Schulian
80968.0,Chris Brancato
80968.0,Doug Miro
80968.0,Carlo Bernard
54671.0,John Logan
45815.0,João Emanuel Carneiro
82596.0,Darren Star
74016.0,Amy Holden Jones
74016.0,Hayley Schore
74016.0,Roshan Sethi
4327.0,Richard Curtis
4327.0,Rowan Atkinson
65844.0,sin informacion
79525.0,Michael Tollin
60863.0,sin informacion
42444.0,sin informacion
120168.0,José Ignacio Valenzuela
54650.0,Courtney Kemp Agboh
54650.0,Vladimir Cvetko
2384.0,Glen A. Larson
67070.0,Phoebe Waller-Bridge
253.0,Gene Roddenberry
4336.0,Dave Jeser
4336.0,Matthew Silverstein
42671.0,sin informacion
56296.0,John Fawcett
56296.0,Graeme Manson
76719.0,Jannik Tai Mosholt
76719.0,Christian Potalivo
76719.0,Esben Toft Jacobsen
107113.0,Steve Martin
107113.0,John Robert Hoffman
86423.0,Carlton Cuse
86423.0,Meredith Averill
86423.0,Aron Eli Coleite
72750.0,Phoebe Waller-Bridge
115004.0,Brad Ingelsby
87689.0,Simon Barry
62017.0,Frank Spotnitz
1891.0,John Milius
1891.0,William J. MacDonald
1891.0,Bruno Heller
65708.0,Tom Hardy
65708.0,Steven Knight
65708.0,Chips Hardy
71024.0,Warren Ellis
900.0,Bryan Elsley
900.0,Jamie Brittain
79680.0,Josh Friedman
79680.0,Graeme Manson
31268.0,Gustavo Bolívar Moreno
13027.0,Caridad Bravo Adams
10283.0,Adam Reed
604.0,Sam Register
604.0,Glen Murakami
96648.0,sin informacion
82739.0,sin informacion
17610.0,Shane Brennan
34967.0,Robert Rodat
5451.0,Gustavo Bolívar
1431.0,Anthony Zuiker
1431.0,Ann Donahue
61175.0,Rebecca Sugar
90027.0,Travis Beacham
90027.0,René Echevarria
18011.0,Eugenio Derbez
62823.0,Jill E. Blotevogel
62823.0,Jay Beattie
62823.0,Dan Dworkin
61459.0,sin informacion
124834.0,Alice Oseman
94305.0,Scott M. Gimple
94305.0,Matthew Negrete
80986.0,Geoff Johns
90937.0,sin informacion
61852.0,Dana Olsen
61852.0,Dan Schneider
63407.0,Alejandro Pohlenz
63407.0,Marcia del Río
63407.0,Pablo Ferrer García-Travesí
105009.0,sin informacion
41727.0,David Schickler
41727.0,Jonathan Tropper
1104.0,Matthew Weiner
31072.0,Eugenio Derbez
83100.0,sin informacion
69061.0,Brit Marling
69061.0,Zal Batmanglij
70828.0,sin informacion
7842.0,Joseph Barbera
7842.0,William Hanna
4574.0,Sidney Iwanter
4574.0,Eric Lewald
4574.0,Mark Edward Wright
66203.0,Karol Sevilla
66203.0,Jorge Edelstein
73481.0,Fernando Gaitán
64230.0,Seth Rogen
64230.0,Evan Goldberg
64230.0,Sam Catlin
90669.0,Baran bo Odar
90669.0,Jantje Friese
62650.0,Dick Wolf
62650.0,Matt Olmstead
2352.0,Fran Drescher
2352.0,Peter Marc Jacobson
105248.0,Rafał Jaki
102966.0,Ricardo Alvarez Canales
86248.0,Greg Daniels
4658.0,Tom Patchett
4658.0,Paul Fusco
62914.0,Héctor Lozano
81354.0,Evan Romansky
6040.0,Dwayne McDuffie
6040.0,Joe Kelly
6040.0,Duncan Rouleau
6040.0,Glen Murakami
6040.0,Steven T. Seagle
6040.0,Joe Casey
33217.0,Greg Weisman
33217.0,Brandon Vietti
93740.0,David S. Goyer
71738.0,Seth MacFarlane
67075.0,sin informacion
1778.0,Dan Schneider
68267.0,Guillermo del Toro
83097.0,sin informacion
5178.0,sin informacion
1215.0,Tom Kapinos
605.0,Nell Scovell
60948.0,Travis Fickett
60948.0,Terry Matalas
2309.0,Butch Hartman
71578.0,Robia Rashid
66084.0,sin informacion
89393.0,Ryan Murphy
89393.0,Tim Minear
89393.0,Brad Falchuk
109958.0,Mike Flanagan
79649.0,David O'Leary
1044.0,David Attenborough
1044.0,Vanessa Berlowitz
1044.0,Gary Parker
74204.0,Jennifer Flackett
74204.0,Mark Levin
74204.0,Nick Kroll
74204.0,Andrew Goldberg
125910.0,Lars Beckung
125910.0,Lisa Ambjörn
125910.0,Camilla Holter
62110.0,sin informacion
4313.0,Jeff Franklin
74440.0,Dean Lorey
74440.0,Patrick Schumacker
74440.0,Justin Halpern
34391.0,sin informacion
98986.0,sin informacion
63109.0,Vivian de Oliveira
2710.0,Rob McElhenney
131927.0,Clyde Phillips
92782.0,Bisha K. Ali
65249.0,sin informacion
79240.0,Mark Verheiden
79240.0,Gary Dauberman
888.0,John Semper Jr.
73021.0,Matt Groening
50825.0,Len Wiseman
50825.0,Alex Kurtzman
50825.0,Roberto Orci
50825.0,Phillip Iscove
92967.0,Yusuf Pirhasan
92967.0,Pınar Bulut
92967.0,Onur Koralp
12313.0,sin informacion
39852.0,Derek Simonds
91557.0,Adam Price
91557.0,Emilie Lebech Kaae
81146.0,sin informacion
1600.0,Scott Fellows
1621.0,Terence Winter
89905.0,sin informacion
18123.0,Tony Cervone
18123.0,Spike Brandt
18123.0,Mitch Watson
1426.0,Neil Cross
63210.0,Ed Decter
2290.0,Brad Wright
2290.0,Robert C. Cooper
93812.0,Tony McNamara
1695.0,Andy Breckman
43899.0,sin informacion
61223.0,sin informacion
3763.0,Michael Jacobs
3763.0,Bob Young
80350.0,David Schulner
4239.0,Michael G. Moye
4239.0,Ron Leavitt
897.0,Maxwell Atoms
1404.0,Josh Schwartz
4500.0,Carol Black
4500.0,Neal Marlens
252.0,Chris Rock
252.0,Ali LeRoi
42589.0,sin informacion
64513.0,Scott Alexander
64513.0,Larry Karaszewski
64513.0,Tom Rob Smith
64513.0,Sarah Burgess
66276.0,Steven Zaillian
66276.0,Richard Price
61663.0,sin informacion
2317.0,Greg Garcia
46261.0,sin informacion
1516.0,Stephen J. Cannell
1516.0,Frank Lupo
1988.0,Tobin Wolf
80169.0,Manolo Caro
82747.0,Leo Birenberg
82747.0,Owen Elliott
42705.0,sin informacion
61859.0,David Farr
70593.0,Kim Eun-hee
18350.0,sin informacion
83125.0,Frank Miller
83125.0,Tom Wheeler
54344.0,Tom Perrotta
54344.0,Damon Lindelof
33907.0,Julian Fellowes
3570.0,sin informacion
110290.0,sin informacion
60802.0,Hank Steinberg
60802.0,Steven Kane
4630.0,Butch Hartman
14141.0,Kenneth Johnson
97513.0,Laura Belloso
97513.0,Asier Anduenza
4586.0,Amy Sherman-Palladino
14814.0,Ryan Seacrest
14814.0,Eliot Goldberg
64122.0,Miles Millar
64122.0,Alfred Gough
83867.0,Tony Gilroy
67133.0,Peter M. Lenkov
89901.0,Alena Smith
98387.0,Yolanda Vargas Dulché
98387.0,Leonardo Padrón
76331.0,Jesse Armstrong
902.0,sin informacion
2426.0,Joss Whedon
2426.0,David Greenwalt
95396.0,Dan Erickson
67026.0,David Guggenheim
67466.0,Josh Schwartz
67466.0,Stephanie Savage
72002.0,Sallie Patrick
72002.0,Stephanie Savage
72002.0,Josh Schwartz
1274.0,Alan Ball
63767.0,sin informacion
7225.0,Julian Jones
7225.0,Jake Michie
7225.0,Johnny Capps
7225.0,Julian Murphy
1781.0,Ed Friendly
1781.0,Laura Ingalls Wilder
607.0,Craig McCracken
96316.0,sin informacion
66330.0,Song Jae-jung
105971.0,Dave Filoni
32726.0,Jim Dauterive
32726.0,Loren Bouchard
99071.0,sin informacion
537.0,Craig Bartlett
127235.0,Simon Kinberg
127235.0,David Weil
80564.0,sin informacion
71663.0,Salim Akil
86374.0,Howard Overman
65820.0,Neil LaBute
108978.0,Nick Santora
1855.0,Gene Roddenberry
1855.0,Michael Piller
1855.0,Rick Berman
1855.0,Jeri Taylor
96160.0,Ryu Yong-jae
96160.0,Lee Sang-yeop
95601.0,Héctor Lozano
1996.0,Joseph Barbera
1996.0,William Hanna
95403.0,Scott B. Smith
62741.0,sin informacion
93846.0,sin informacion
83639.0,SOUR Bangkok
433.0,Josh Friedman
42573.0,Nobutaka Nishizawa
42573.0,Takehiko Inoue
78722.0,Jorge Ortiz de Pinedo
78722.0,Pedro Ortiz de Pinedo
6357.0,Rod Serling
36250.0,sin informacion
46533.0,Joseph Weisberg
61418.0,Jennie Snyder Urman
100.0,sin informacion
117376.0,sin informacion
2391.0,Steven Dodd
106651.0,Yeon Sang-ho
106651.0,Choi Gyu-seok
64196.0,sin informacion
62852.0,Brian Koppelman
62852.0,David Levien
62852.0,Andrew Ross Sorkin
94664.0,sin informacion
34899.0,Timur Savcı
82104.0,Dennis Heaton
82104.0,Shelley Eriksen
65294.0,Barry Sonnenfeld
65294.0,Daniel Handler
110070.0,sin informacion
96713.0,Pendleton Ward
96713.0,Duncan Trussell
37863.0,sin informacion
61888.0,Will Forte
110642.0,sin informacion
113036.0,Ryan Murphy
113036.0,Brad Falchuk
85801.0,Tim Federle
31295.0,Howard Overman
31109.0,Joe Kelly
31109.0,Duncan Rouleau
31109.0,Steven T. Seagle
31109.0,Joe Casey
43020.0,Simon Barry
186.0,Jenji Kohan
66398.0,sin informacion
61345.0,Craig Engler
61345.0,Karl Schaefer
119243.0,Dan Schneider
74387.0,David Sacks
74387.0,Olan Rogers
48865.0,Laurie McCarthy
48865.0,Stephanie Sengupta
69291.0,sin informacion
31654.0,sin informacion
46994.0,Asaph Fipke
75191.0,Edward Berger
62687.0,Craig Sweeny
32692.0,Robin Green
32692.0,Mitchell Burgess
60957.0,Park Ji-eun
60957.0,Jang Tae-yoo
240.0,John Rogers
114472.0,Kyle Bradstreet
82700.0,Andrea De Sica
82700.0,Giacomo Mazzariol
82700.0,Antonio Le Fosse
82700.0,Marco Raspanti
82700.0,Eleonora Trucchi
82700.0,Romolo Re Salvador
12782.0,Inés Rodena
65988.0,Emily Andras
25707.0,sin informacion
68349.0,Yang Hee-seung
68349.0,Oh Hyun-jong
68349.0,Kim Soo-jin
61593.0,Dave Stewart
61593.0,Will Carsola
71365.0,Ronald D. Moore
4588.0,Michael Crichton
54155.0,David Farr
56998.0,Satou Shouji
60554.0,Simon Kinberg
60554.0,Dave Filoni
60554.0,Carrie Beck
2875.0,Lee David Zlotoff
61709.0,sin informacion
49010.0,Allan Cubitt
110356.0,Kim Jin-min
110356.0,Kim Ba-da
4229.0,Genndy Tartakovsky
100757.0,Josh Pate
100757.0,Jonas Pate
100757.0,Shannon Burke
3475.0,Ilene Chaiken
80748.0,Dick Wolf
80748.0,Craig Turk
93149.0,sin informacion
2129.0,Steve Oedekerk
2129.0,John A. Davis
87623.0,Cem Karcı
87623.0,Banu Akdeniz
87623.0,Sümeyye Ezel
80307.0,Jed Mercurio
124364.0,John Griffin
88040.0,sin informacion
90660.0,sin informacion
1427.0,Chris Chibnall
84200.0,Bruce Timm
