id_show,Paises_Produccion
80350.0,United States of America
4239.0,United States of America
897.0,sin informacion
1404.0,United States of America
4500.0,United States of America
252.0,United States of America
42589.0,Japan
64513.0,United States of America
66276.0,United States of America
61663.0,Japan
2317.0,United States of America
46261.0,Japan
1516.0,United States of America
1988.0,United States of America
1988.0,Japan
80169.0,Mexico
82747.0,United States of America
42705.0,Japan
61859.0,Spain
61859.0,United Kingdom
61859.0,United States of America
70593.0,South Korea
18350.0,sin informacion
83125.0,United States of America
54344.0,United States of America
33907.0,United Kingdom
3570.0,Japan
110290.0,United Kingdom
60802.0,United States of America
4630.0,Canada
4630.0,United States of America
14141.0,sin informacion
97513.0,Spain
4586.0,United States of America
14814.0,United States of America
64122.0,United States of America
83867.0,United States of America
67133.0,United States of America
89901.0,United States of America
98387.0,Mexico
98387.0,Spain
98387.0,United States of America
76331.0,United States of America
902.0,Japan
2426.0,United States of America
95396.0,United States of America
67026.0,United States of America
67466.0,United States of America
72002.0,United States of America
1274.0,United States of America
63767.0,South Korea
7225.0,United Kingdom
1781.0,United States of America
607.0,United States of America
96316.0,Japan
66330.0,South Korea
105971.0,United States of America
32726.0,United States of America
99071.0,Japan
537.0,sin informacion
127235.0,United States of America
80564.0,Japan
71663.0,United States of America
86374.0,Belgium
86374.0,France
86374.0,United Kingdom
65820.0,United States of America
108978.0,United States of America
1855.0,United States of America
96160.0,South Korea
95601.0,Spain
1996.0,United States of America
95403.0,United States of America
62741.0,Japan
93846.0,South Korea
83639.0,Thailand
433.0,United States of America
42573.0,Japan
78722.0,Mexico
6357.0,United States of America
36250.0,Japan
46533.0,United States of America
61418.0,United States of America
100.0,sin informacion
117376.0,South Korea
2391.0,United States of America
106651.0,South Korea
64196.0,Japan
62852.0,United States of America
94664.0,Japan
34899.0,sin informacion
82104.0,United States of America
65294.0,Canada
110070.0,Japan
96713.0,United States of America
37863.0,Japan
61888.0,sin informacion
110642.0,Japan
113036.0,United States of America
85801.0,United States of America
31295.0,United Kingdom
31109.0,sin informacion
43020.0,Canada
186.0,United States of America
66398.0,sin informacion
61345.0,sin informacion
119243.0,United States of America
74387.0,United States of America
48865.0,sin informacion
69291.0,Japan
31654.0,Japan
46994.0,Canada
75191.0,Canada
75191.0,Croatia
75191.0,Hungary
62687.0,United States of America
32692.0,United States of America
60957.0,South Korea
240.0,sin informacion
114472.0,United States of America
82700.0,Italy
12782.0,Mexico
65988.0,Canada
65988.0,United States of America
25707.0,Japan
68349.0,South Korea
61593.0,United States of America
71365.0,United States of America
4588.0,United States of America
54155.0,United Kingdom
54155.0,United States of America
56998.0,Japan
60554.0,United States of America
2875.0,United States of America
61709.0,Japan
49010.0,Ireland
49010.0,United Kingdom
110356.0,South Korea
4229.0,United States of America
100757.0,United States of America
3475.0,Canada
3475.0,United States of America
80748.0,United States of America
93149.0,Japan
2129.0,United States of America
87623.0,Turkey
80307.0,United Kingdom
124364.0,United States of America
88040.0,Japan
90660.0,Japan
1427.0,United Kingdom
84200.0,United States of America
1877.0,United States of America
73107.0,United States of America
53425.0,United States of America
2996.0,United Kingdom
62704.0,sin informacion
62425.0,Canada
73411.0,United States of America
1660.0,United States of America
61733.0,United States of America
1417.0,sin informacion
75214.0,Japan
1406.0,United States of America
81355.0,United States of America
2673.0,United States of America
70453.0,Canada
70453.0,United States of America
3854.0,United States of America
32754.0,United States of America
68595.0,China
68595.0,France
68595.0,Germany
68595.0,United Kingdom
68595.0,United States of America
3498.0,United States of America
88236.0,Germany
76231.0,United States of America
132559.0,United States of America
28136.0,Japan
79732.0,United States of America
39358.0,sin informacion
314.0,sin informacion
65320.0,Norway
1423.0,United States of America
1447.0,United States of America
130392.0,United States of America
120911.0,United States of America
116135.0,Ireland
116135.0,United States of America
2328.0,Japan
2328.0,New Zealand
2328.0,United States of America
580.0,sin informacion
9687.0,Germany
9687.0,Italy
9687.0,South Africa
9687.0,Turkey
9687.0,United Kingdom
9687.0,United States of America
112163.0,Japan
67773.0,sin informacion
3452.0,sin informacion
2675.0,sin informacion
79410.0,United Kingdom
62273.0,Japan
56295.0,United States of America
97400.0,United States of America
105556.0,Japan
88055.0,United States of America
46901.0,Mexico
38693.0,Canada
38693.0,Denmark
84977.0,United States of America
82684.0,Japan
65143.0,South Korea
111110.0,South Africa
111110.0,United States of America
57532.0,Canada
57532.0,United States of America
95269.0,Japan
606.0,sin informacion
83121.0,Japan
2723.0,United States of America
94280.0,United States of America
5522.0,sin informacion
34415.0,Canada
34415.0,United States of America
65555.0,Turkey
68315.0,sin informacion
46028.0,United States of America
95281.0,Spain
2025.0,United States of America
45.0,United Kingdom
13023.0,Mexico
926.0,United States of America
62428.0,Japan
96203.0,Japan
97727.0,United States of America
74682.0,South Korea
2660.0,United States of America
2228.0,United States of America
70796.0,United States of America
67116.0,United States of America
67135.0,United States of America
113901.0,Argentina
113901.0,Italy
113901.0,Mexico
113901.0,Spain
67126.0,Japan
160.0,United States of America
98123.0,China
66786.0,United States of America
82.0,United States of America
114695.0,United States of America
84669.0,Japan
86836.0,Japan
31724.0,Japan
35790.0,Japan
2382.0,United States of America
42509.0,Japan
4482.0,United States of America
83659.0,United States of America
68734.0,United States of America
99778.0,Japan
99778.0,South Korea
99778.0,United States of America
1414.0,sin informacion
4546.0,sin informacion
3322.0,United States of America
98754.0,sin informacion
33623.0,United States of America
21494.0,sin informacion
67683.0,Canada
76747.0,United States of America
93484.0,United Kingdom
93484.0,United States of America
96557.0,United States of America
47450.0,sin informacion
68878.0,Mexico
30983.0,Japan
90814.0,South Korea
4018.0,United States of America
68716.0,Canada
68716.0,United States of America
3022.0,sin informacion
83851.0,United States of America
69470.0,United States of America
90855.0,Japan
2458.0,sin informacion
86850.0,United Kingdom
67557.0,United Kingdom
38974.0,United States of America
2942.0,United Kingdom
2942.0,United States of America
2942.0,Ireland
2942.0,Canada
97617.0,Japan
5148.0,United States of America
2207.0,United Kingdom
61339.0,Japan
73321.0,China
73321.0,Malaysia
1436.0,United States of America
112836.0,South Korea
4610.0,United States of America
59427.0,United States of America
73777.0,Mexico
80828.0,United Kingdom
80828.0,United States of America
61611.0,South Korea
18685.0,sin informacion
65495.0,United States of America
104819.0,Argentina
104819.0,Chile
104555.0,sin informacion
82816.0,United States of America
4345.0,United States of America
44305.0,United States of America
17572.0,sin informacion
4605.0,United States of America
62816.0,United States of America
4608.0,United States of America
197067.0,South Korea
111803.0,United States of America
60694.0,United States of America
1481.0,United States of America
72517.0,Japan
66857.0,United States of America
32351.0,sin informacion
98034.0,Japan
86382.0,United States of America
720.0,United States of America
1422.0,United States of America
64706.0,Japan
51817.0,United States of America
79008.0,Mexico
873.0,United States of America
106541.0,United States of America
40293.0,sin informacion
60808.0,Japan
652.0,United States of America
77240.0,Japan
42025.0,Australia
4429.0,United States of America
96580.0,United States of America
15819.0,United States of America
136315.0,United States of America
57911.0,sin informacion
1063.0,Japan
918.0,United States of America
12777.0,Mexico
68129.0,Japan
11721.0,Mexico
33765.0,Canada
33765.0,United States of America
9160.0,Japan
111141.0,Canada
111141.0,United States of America
61389.0,Japan
2046.0,sin informacion
117488.0,Canada
117488.0,United States of America
85922.0,United States of America
48462.0,South Korea
45140.0,United States of America
64710.0,Japan
90282.0,United States of America
111499.0,United States of America
4620.0,United States of America
79434.0,South Korea
35753.0,Japan
106292.0,United States of America
94796.0,South Korea
94796.0,Mongolia
94796.0,Switzerland
15655.0,United States of America
849.0,sin informacion
79141.0,China
64684.0,United Kingdom
4238.0,United States of America
66190.0,United States of America
88640.0,United States of America
1558.0,United States of America
12965.0,Mexico
1432.0,sin informacion
87763.0,Spain
99581.0,Germany
14929.0,Canada
14929.0,United States of America
2131.0,United States of America
63145.0,Japan
2913.0,Canada
2913.0,United States of America
88803.0,Japan
61752.0,Japan
62649.0,United States of America
58981.0,United States of America
7458.0,Colombia
96777.0,South Korea
125988.0,United States of America
83631.0,New Zealand
83631.0,United States of America
93785.0,Germany
70637.0,Japan
6782.0,Canada
86034.0,Japan
62858.0,United States of America
65648.0,Japan
63764.0,Mexico
63764.0,United States of America
84452.0,Mexico
4743.0,sin informacion
2405.0,United States of America
87527.0,South Korea
32218.0,sin informacion
2260.0,Australia
81046.0,United States of America
62822.0,United Kingdom
62822.0,United States of America
2122.0,United States of America
49011.0,United States of America
42916.0,Japan
67389.0,Japan
82809.0,Mexico
82809.0,United States of America
15621.0,sin informacion
121.0,United Kingdom
107124.0,United States of America
5835.0,Canada
5835.0,United States of America
79818.0,China
79818.0,United Kingdom
88061.0,Japan
71715.0,United States of America
83596.0,Mexico
45783.0,Japan
141.0,sin informacion
1126.0,United States of America
71769.0,Hungary
46928.0,United States of America
45016.0,Denmark
45016.0,Sweden
2140.0,United States of America
123249.0,Japan
2355.0,sin informacion
62517.0,United States of America
75208.0,Japan
87917.0,United States of America
15842.0,sin informacion
18197.0,United States of America
71116.0,United States of America
63623.0,United States of America
114501.0,United States of America
81349.0,United Kingdom
81349.0,United States of America
