id_show,Canales
60863.0, TBS
42444.0,tv asahi
120168.0,Netflix
54650.0,Starz
2384.0,NBC
67070.0,BBC Three
67070.0, BBC One
253.0,NBC
4336.0,Comedy Central
42671.0,AT-X
56296.0,Space
56296.0, BBC America
76719.0,Netflix
107113.0,Hulu
86423.0,Netflix
72750.0,BBC America
115004.0,HBO
87689.0,Netflix
62017.0,Prime Video
1891.0,HBO
65708.0,BBC One
65708.0, FX
71024.0,Netflix
900.0,E4
79680.0,TNT
31268.0,RCN
13027.0,Las Estrellas
10283.0,FX
10283.0, FXX
604.0,Cartoon Network
96648.0,Netflix
82739.0,ABC TV
17610.0,CBS
34967.0,TNT
5451.0,Telemundo
1431.0,CBS
61175.0,Cartoon Network
90027.0,Prime Video
18011.0,Distrito Comedia
18011.0, Blim
18011.0, Las Estrellas
62823.0,MTV
62823.0, VH1
61459.0,Nippon TV
124834.0,Netflix
94305.0,AMC
80986.0,The CW
80986.0, DC Universe
90937.0,Fuji TV
61852.0,Nickelodeon
63407.0,Las Estrellas
105009.0,MBS
41727.0,Cinemax
1104.0,AMC
31072.0,Las Estrellas
83100.0,TV Tokyo
69061.0,Netflix
70828.0,Caracol TV
7842.0,ABC
4574.0,FOX
4574.0, Fox Kids
66203.0,Disney Channel
73481.0,RCN
64230.0,AMC
90669.0,Netflix
62650.0,NBC
2352.0,CBS
105248.0,Netflix
102966.0,Telemundo
86248.0,Prime Video
4658.0,NBC
62914.0,laSexta
62914.0, TV3
81354.0,Netflix
6040.0,Cartoon Network
33217.0,Cartoon Network
33217.0, DC Universe
33217.0, HBO Max
93740.0,Apple TV+
71738.0,FOX
71738.0, Hulu
67075.0,Tokyo MX
1778.0,Nickelodeon
68267.0,Netflix
83097.0,Fuji TV
5178.0,SBS
1215.0,Showtime
605.0,ABC
605.0, The WB
60948.0,Syfy
2309.0,Nickelodeon
71578.0,Netflix
66084.0,MTV Latin America
89393.0,FOX
109958.0,Netflix
79649.0,History
1044.0,BBC One
74204.0,Netflix
125910.0,Netflix
62110.0,Fuji TV
4313.0,ABC
74440.0,DC Universe
74440.0, HBO Max
74440.0, Max
34391.0,Disney XD
98986.0,AT-X
63109.0,RecordTV
2710.0,FX
2710.0, FXX
131927.0,Showtime
92782.0,Disney+
65249.0,Fuji TV
79240.0,DC Universe
888.0,FOX
888.0, Fox Kids
73021.0,Netflix
50825.0,FOX
92967.0,FOX
12313.0,Space
39852.0,USA Network
39852.0, Netflix
91557.0,Netflix
81146.0,RCN
1600.0,Nickelodeon
1621.0,HBO
89905.0,BBC Three
18123.0,Cartoon Network
1426.0,BBC One
63210.0,Netflix
63210.0, Freeform
2290.0,Syfy
93812.0,Hulu
1695.0,USA Network
43899.0,History
61223.0,Tokyo MX
3763.0,ABC
80350.0,NBC
4239.0,FOX
897.0,Cartoon Network
1404.0,NBC
4500.0,ABC
252.0,UPN
252.0, The CW
42589.0,Tokyo MX
42589.0, KBS Kyoto
42589.0, Chiba TV
64513.0,FX
66276.0,HBO
61663.0,Fuji TV
2317.0,NBC
46261.0,TV Tokyo
1516.0,NBC
1988.0,Syndication
80169.0,Netflix
82747.0,Prime Video
42705.0,Nippon TV
61859.0,BBC One
70593.0,Netflix
18350.0,Las Estrellas
83125.0,Netflix
54344.0,HBO
33907.0,ITV1
33907.0, PBS
3570.0,tv asahi
110290.0,Channel 4
60802.0,TNT
4630.0,Nickelodeon
14141.0,NBC
97513.0,Prime Video
4586.0,The WB
4586.0, The CW
14814.0,E!
64122.0,MTV
64122.0, Spike
83867.0,Disney+
67133.0,CBS
89901.0,Apple TV+
98387.0,Univision
76331.0,HBO
902.0,TV Tokyo
902.0, TV Osaka
902.0, TVh
902.0, TSC
2426.0,The WB
95396.0,Apple TV+
67026.0,ABC
67026.0, Netflix
67466.0,Hulu
72002.0,The CW
1274.0,HBO
63767.0,MBC
7225.0,BBC One
1781.0,NBC
607.0,Cartoon Network
96316.0,MBS
96316.0, TBS
96316.0, CBC
96316.0, Tulip Television
96316.0, SBC
96316.0, BSN
96316.0, tys
96316.0, Nagasaki Broadcasting Company
96316.0, HBC
96316.0, RKK Kumamoto Broadcasting
96316.0, i-Television
96316.0, SBS TV
96316.0, IBC Iwate Broadcasting
96316.0, Broadcasting System of San-in
96316.0, Hokuriku Broadcasting
96316.0, Oita Broadcasting System
96316.0, TV-U Fukushima
96316.0, RSK
96316.0, TV-U Yamagata
96316.0, Tohoku Broadcasting
96316.0, RKB
96316.0, TV Kochi Broadcasting
96316.0, Ryukyu Broadcasting
96316.0, TV Yamanashi
96316.0, RCC
96316.0, MRT Miyazaki Broadcasting
96316.0, ATV
96316.0, MBC South Japan Broadcasting
66330.0,MBC
105971.0,Disney+
32726.0,FOX
99071.0,AT-X
537.0,Nickelodeon
127235.0,Apple TV+
80564.0,Fuji TV
71663.0,The CW
86374.0,Canal+
65820.0,Syfy
108978.0,Prime Video
1855.0,UPN
96160.0,Netflix
95601.0,TV3
95601.0, #0
1996.0,ABC
95403.0,Prime Video
62741.0,TV Tokyo
62741.0, AT-X
62741.0, TV Aichi
62741.0, TV Osaka
62741.0, TVh
