id_show,Idiomas_hablados
80564.0,日本語
71663.0,English
86374.0,English
86374.0,Français
65820.0,English
108978.0,English
1855.0,English
96160.0,한국어/조선말
95601.0,Español
95601.0,Català
1996.0,English
95403.0,English
62741.0,日本語
93846.0,普通话
93846.0,English
93846.0,日本語
93846.0,한국어/조선말
83639.0,ภาษาไทย
433.0,English
42573.0,日本語
78722.0,Español
6357.0,English
36250.0,日本語
46533.0,Pусский
46533.0,English
61418.0,English
61418.0,Español
100.0,sin informacion
117376.0,Italiano
117376.0,한국어/조선말
2391.0,English
106651.0,한국어/조선말
64196.0,日本語
62852.0,English
94664.0,日本語
34899.0,Türkçe
82104.0,English
65294.0,English
110070.0,日本語
96713.0,English
37863.0,日本語
61888.0,English
110642.0,English
113036.0,English
85801.0,English
31295.0,English
31109.0,English
43020.0,English
186.0,English
66398.0,Español
61345.0,English
119243.0,English
74387.0,English
48865.0,English
69291.0,日本語
31654.0,日本語
46994.0,English
75191.0,English
62687.0,English
32692.0,English
60957.0,한국어/조선말
240.0,Français
240.0,English
114472.0,English
82700.0,Español
82700.0,Italiano
82700.0,Português
12782.0,Español
65988.0,English
25707.0,日本語
68349.0,한국어/조선말
61593.0,English
71365.0,English
4588.0,English
54155.0,English
56998.0,日本語
60554.0,English
2875.0,English
61709.0,日本語
49010.0,English
110356.0,한국어/조선말
4229.0,English
100757.0,English
100757.0,Español
3475.0,English
80748.0,English
93149.0,日本語
2129.0,English
87623.0,Türkçe
80307.0,English
124364.0,English
88040.0,日本語
90660.0,日本語
1427.0,English
84200.0,English
84200.0,Español
1877.0,English
73107.0,English
53425.0,English
2996.0,English
62704.0,English
62425.0,English
73411.0,English
1660.0,English
61733.0,English
1417.0,English
75214.0,日本語
1406.0,English
81355.0,English
2673.0,English
70453.0,English
3854.0,English
32754.0,English
68595.0,English
3498.0,English
88236.0,Deutsch
76231.0,English
76231.0,Español
132559.0,English
28136.0,日本語
79732.0,English
39358.0,English
314.0,English
65320.0,Norsk
1423.0,English
1447.0,English
130392.0,English
120911.0,English
116135.0,English
2328.0,English
580.0,English
9687.0,English
112163.0,日本語
67773.0,English
3452.0,English
2675.0,English
79410.0,English
62273.0,日本語
56295.0,English
97400.0,English
105556.0,日本語
88055.0,English
46901.0,Español
38693.0,English
84977.0,English
82684.0,日本語
65143.0,English
65143.0,한국어/조선말
111110.0,English
57532.0,English
95269.0,日本語
606.0,English
83121.0,日本語
2723.0,English
94280.0,English
5522.0,Español
34415.0,English
65555.0,Türkçe
68315.0,English
46028.0,English
95281.0,Español
2025.0,English
45.0,English
13023.0,Español
926.0,English
62428.0,日本語
96203.0,日本語
97727.0,English
74682.0,한국어/조선말
2660.0,English
2228.0,English
70796.0,English
67116.0,English
67135.0,English
113901.0,Español
113901.0,English
67126.0,日本語
160.0,English
98123.0,普通话
66786.0,English
82.0,English
114695.0,English
84669.0,日本語
86836.0,日本語
31724.0,日本語
35790.0,日本語
2382.0,English
42509.0,日本語
4482.0,English
83659.0,English
68734.0,Español
99778.0,日本語
1414.0,English
4546.0,English
3322.0,English
98754.0,Español
33623.0,English
21494.0,English
67683.0,English
76747.0,English
76747.0,Português
93484.0,English
96557.0,English
47450.0,English
68878.0,Español
30983.0,日本語
90814.0,한국어/조선말
4018.0,English
68716.0,English
3022.0,English
83851.0,English
69470.0,English
90855.0,English
2458.0,English
86850.0,English
86850.0,Deutsch
86850.0,Română
67557.0,English
38974.0,English
2942.0,Português
2942.0,Latin
2942.0,Français
2942.0,English
2942.0,Español
2942.0,Deutsch
2942.0,Italiano
97617.0,Latin
5148.0,English
2207.0,English
61339.0,日本語
73321.0,普通话
1436.0,English
112836.0,한국어/조선말
4610.0,English
59427.0,English
73777.0,Español
80828.0,English
61611.0,한국어/조선말
18685.0,Español
65495.0,English
104819.0,Español
104555.0,Español
82816.0,English
4345.0,English
44305.0,English
17572.0,English
17572.0,Français
4605.0,English
62816.0,English
4608.0,English
197067.0,한국어/조선말
111803.0,English
60694.0,English
1481.0,English
72517.0,English
72517.0,日本語
66857.0,English
32351.0,English
98034.0,日本語
86382.0,English
720.0,English
1422.0,English
64706.0,日本語
51817.0,English
79008.0,English
79008.0,Español
873.0,English
106541.0,English
40293.0,English
60808.0,日本語
652.0,English
77240.0,日本語
42025.0,English
4429.0,English
96580.0,English
15819.0,English
136315.0,English
136315.0,Español
57911.0,日本語
1063.0,日本語
918.0,English
12777.0,Español
68129.0,日本語
11721.0,Español
33765.0,English
9160.0,日本語
111141.0,English
61389.0,日本語
2046.0,English
117488.0,English
85922.0,English
48462.0,한국어/조선말
48462.0,English
45140.0,English
64710.0,日本語
90282.0,English
111499.0,Español
4620.0,English
79434.0,한국어/조선말
35753.0,日本語
106292.0,English
94796.0,English
94796.0,한국어/조선말
15655.0,English
849.0,English
79141.0,普通话
64684.0,English
4238.0,English
66190.0,English
88640.0,English
1558.0,English
12965.0,Español
1432.0,English
87763.0,Español
99581.0,Deutsch
99581.0,English
14929.0,English
2131.0,English
63145.0,日本語
2913.0,English
88803.0,日本語
61752.0,日本語
62649.0,English
58981.0,English
7458.0,Español
96777.0,한국어/조선말
125988.0,English
83631.0,English
93785.0,Deutsch
93785.0,Latin
70637.0,日本語
6782.0,English
86034.0,日本語
62858.0,English
62858.0,Italiano
65648.0,日本語
63764.0,Español
84452.0,Español
4743.0,Español
2405.0,English
87527.0,한국어/조선말
32218.0,Español
2260.0,English
81046.0,English
62822.0,English
2122.0,English
49011.0,English
42916.0,日本語
67389.0,日本語
82809.0,Español
15621.0,English
121.0,English
107124.0,English
5835.0,English
79818.0,普通话
88061.0,日本語
71715.0,English
83596.0,Français
83596.0,Español
45783.0,日本語
141.0,English
1126.0,English
71769.0,English
46928.0,English
45016.0,Dansk
45016.0,svenska
2140.0,English
123249.0,日本語
2355.0,English
62517.0,English
75208.0,日本語
87917.0,English
87917.0,Pусский
87917.0,Español
15842.0,English
18197.0,English
71116.0,English
71116.0,Italiano
63623.0,English
114501.0,English
81349.0,English
99588.0,English
91275.0,English
60726.0,English
88516.0,العربية
77236.0,English
1435.0,English
84647.0,English
194766.0,English
86848.0,English
136283.0,한국어/조선말
136283.0,Español
79622.0,English
90447.0,한국어/조선말
32226.0,한국어/조선말
39269.0,English
65676.0,日本語
35935.0,日本語
5739.0,English
1428.0,English
96444.0,日本語
513.0,English
99494.0,한국어/조선말
99494.0,ภาษาไทย
85021.0,English
85021.0,Italiano
2287.0,English
89844.0,Português
89844.0,Español
66871.0,English
69998.0,Español
79086.0,English
79086.0,Português
36.0,English
36.0,Italiano
129035.0,English
210232.0,English
44824.0,English
44824.0,Français
44824.0,Español
1940.0,English
60585.0,English
1410.0,English
73544.0,English
73544.0,普通话
117023.0,Español
62699.0,English
61671.0,English
93287.0,English
93287.0,Italiano
88052.0,English
2327.0,English
2902.0,English
66433.0,한국어/조선말
549.0,English
100412.0,English
33761.0,Español
88046.0,日本語
79863.0,English
127865.0,Dansk
60858.0,English
92468.0,Español
3772.0,English
4615.0,English
4615.0,Slovenčina
2224.0,English
46511.0,English
114395.0,한국어/조선말
1830.0,English
116450.0,English
1777.0,English
4271.0,Italiano
4271.0,Magyar
4271.0,English
197588.0,English
42295.0,English
51019.0,English
88324.0,English
73467.0,English
3137.0,English
82282.0,English
82282.0,עִבְרִית
82282.0,Español
82282.0,Português
82282.0,日本語
15079.0,English
236.0,English
1615.0,English
128883.0,한국어/조선말
112314.0,English
79084.0,English
424.0,English
346.0,English
68073.0,English
93811.0,Nederlands
93811.0,English
93811.0,Français
93811.0,Pусский
93811.0,Español
58539.0,Español
91977.0,English
45094.0,English
62413.0,English
16830.0,日本語
82585.0,Español
1087.0,日本語
5687.0,English
96129.0,English
82424.0,Español
5459.0,Español
108296.0,English
71225.0,Español
155537.0,English
14396.0,English
66825.0,Português
903.0,English
32962.0,English
2437.0,English
2437.0,Français
2437.0,Español
709.0,English
94810.0,English
92916.0,Français
51704.0,English
81357.0,English
19649.0,English
19649.0,Français
19649.0,Italiano
19649.0,Español
129552.0,English
1546.0,English
1546.0,Deutsch
66958.0,日本語
111111.0,English
60699.0,普通话
60699.0,English
2919.0,English
37585.0,日本語
64254.0,English
94154.0,English
94154.0,Español
46883.0,Español
97173.0,English
82565.0,Español
155.0,Deutsch
155.0,Français
155.0,English
113367.0,English
63375.0,Français
63375.0,English
103157.0,日本語
30981.0,日本語
77721.0,日本語
101881.0,Español
82591.0,日本語
71340.0,English
4879.0,English
2345.0,English
19092.0,English
64394.0,English
1720.0,English
46195.0,日本語
4454.0,English
4331.0,English
82428.0,English
64439.0,English
3611.0,English
129600.0,日本語
86428.0,English
134949.0,Español
135340.0,한국어/조선말
648.0,English
365.0,English
365.0,Bahasa indonesia
73157.0,English
68467.0,Português
97645.0,English
3750.0,English
135157.0,한국어/조선말
70176.0,Español
61901.0,日本語
33001.0,English
54583.0,Español
668.0,English
7821.0,Español
688.0,English
100333.0,Italiano
118357.0,English
118357.0,Deutsch
21729.0,日本語
103516.0,English
1457.0,English
46004.0,日本語
61068.0,Italiano
61738.0,한국어/조선말
59659.0,English
4386.0,English
32605.0,English
97219.0,한국어/조선말
127700.0,English
16118.0,English
9957.0,English
9957.0,Português
9957.0,Pусский
61662.0,English
98161.0,English
9045.0,English
78903.0,English
82001.0,English
77184.0,Español
61599.0,English
1848.0,Italiano
108284.0,한국어/조선말
79026.0,Türkçe
116386.0,한국어/조선말
30669.0,日本語
4624.0,English
92983.0,العربية
92983.0,한국어/조선말
92983.0,Español
92983.0,English
72636.0,日本語
2692.0,English
106600.0,한국어/조선말
790.0,English
60728.0,日本語
66025.0,English
77532.0,Türkçe
66676.0,English
66676.0,Español
269.0,English
7246.0,English
99626.0,English
33025.0,English
77341.0,Español
46080.0,Pусский
4324.0,English
93392.0,English
504.0,English
99779.0,日本語
2362.0,English
4184.0,Español
99310.0,Español
14956.0,English
44606.0,English
26453.0,日本語
97860.0,日本語
7695.0,Español
1649.0,English
3868.0,English
61387.0,English
46922.0,English
24835.0,日本語
79611.0,English
84231.0,English
91875.0,English
16961.0,Español
2119.0,English
2407.0,English
102085.0,English
61929.0,English
61929.0,Français
32895.0,English
112160.0,日本語
2566.0,English
38464.0,日本語
83478.0,English
83478.0,Italiano
66008.0,English
1712.0,English
2022.0,English
33852.0,English
87083.0,English
87083.0,Deutsch
87083.0,Italiano
1018.0,English
112162.0,English
4515.0,English
1401.0,English
68202.0,Português
1618.0,English
58811.0,English
61014.0,English
100698.0,English
73987.0,English
73987.0,Português
98178.0,English
98178.0,Français
98178.0,Deutsch
98178.0,Italiano
98178.0,日本語
98178.0,Português
98178.0,Pусский
42503.0,日本語
90630.0,Español
99799.0,English
15826.0,English
21409.0,广州话 / 廣州話
21409.0,English
21409.0,Español
18341.0,Español
745.0,English
40143.0,日本語
7317.0,English
118956.0,English
1719.0,English
34105.0,日本語
58710.0,Español
15632.0,English
1667.0,English
88989.0,English
88989.0,Pусский
96608.0,English
72597.0,English
111119.0,Español
12598.0,日本語
32910.0,English
92592.0,日本語
123566.0,English
123566.0,Pусский
64387.0,English
67166.0,Español
59375.0,English
72296.0,日本語
46849.0,English
46849.0,Deutsch
46849.0,Polski
46849.0,Pусский
34742.0,日本語
34408.0,한국어/조선말
32868.0,English
39525.0,English
2530.0,English
1663.0,English
66185.0,English
21641.0,English
83103.0,日本語
61838.0,English
1908.0,English
44807.0,Türkçe
7311.0,English
1759.0,English
9907.0,English
288.0,English
288.0,Español
2429.0,English
39859.0,English
72339.0,English
12961.0,Español
2617.0,English
185.0,English
17035.0,English
2947.0,English
58928.0,English
113962.0,English
103086.0,Español
70513.0,English
3793.0,English
3793.0,Français
19654.0,English
100087.0,Español
60930.0,Türkçe
31941.0,English
19253.0,Italiano
19253.0,日本語
92137.0,English
92137.0,العربية
92137.0,Français
92137.0,Italiano
92137.0,Español
92137.0,Wolof
109470.0,Español
14658.0,English
9051.0,Español
73944.0,한국어/조선말
28379.0,English
1567.0,English
65931.0,日本語
85273.0,English
85273.0,Deutsch
45501.0,日本語
4455.0,English
1835.0,English
45666.0,English
64757.0,Español
18712.0,Español
